time,t,fricv,shtfl,sp,u10,v10
11/1/2020 0:00,273.7265,0.21,-31.0,98430.0,-1.7393007,2.8321648
11/1/2020 1:00,273.42926,0.27,-42.0,98340.0,-2.1421242,3.1803474
11/1/2020 2:00,273.31604,0.38,-55.0,98300.0,-2.7020922,3.8396091
11/1/2020 3:00,272.99878,0.4,-60.0,98250.0,-2.912198,3.963049
11/1/2020 4:00,272.84564,0.38,-55.0,98150.0,-2.8131828,3.8720875
11/1/2020 5:00,272.99997,0.4,-56.0,98060.0,-3.187542,3.755703
11/1/2020 6:00,273.10083,0.41,-60.0,97960.0,-3.3969622,3.7410755
11/1/2020 7:00,273.34113,0.4,-69.0,97880.0,-2.845934,4.0801926
11/1/2020 8:00,274.85077,0.51,-49.0,97770.0,-2.662178,5.2921543
11/1/2020 9:00,275.4037,0.52,-58.0,97640.0,-2.730442,5.3950806
11/1/2020 10:00,276.06305,0.58,-53.0,97520.0,-2.7253952,6.1340446
11/1/2020 11:00,276.6249,0.54,-52.0,97400.0,-2.7923737,5.670288
11/1/2020 12:00,277.2057,0.62,-51.0,97260.0,-3.228447,6.452389
11/1/2020 13:00,278.23132,0.59,1.0,97180.0,-2.848177,6.1250744
11/1/2020 14:00,279.70038,0.63,50.0,97040.0,-2.867281,6.372944
11/1/2020 15:00,280.93896,0.64,70.0,96860.0,-3.192316,6.3143215
11/1/2020 16:00,282.6444,0.62,110.0,96680.0,-3.1355057,6.0102615
11/1/2020 17:00,283.05875,0.6,120.0,96490.0,-2.6315184,5.980892
11/1/2020 18:00,282.89227,0.67,110.0,96340.0,-2.7794552,6.9427643
11/1/2020 19:00,282.04758,0.68,30.0,96220.0,-2.4049187,7.2742596
11/1/2020 20:00,281.6028,0.39,50.0,96290.0,3.28308,2.6000118
11/1/2020 21:00,279.0122,0.41,10.0,96510.0,4.633544,0.7830868
11/1/2020 22:00,277.17078,0.26,-10.0,96570.0,2.9920044,0.5167675
11/1/2020 23:00,276.23825,0.31,-30.0,96680.0,3.7856503,1.2564812
