time,t,fricv,shtfl,sp,u10,v10
2021-03-03 15:00:00,279.08447,0.35,79.0,96740.0,3.253996,3.0815048
2021-03-03 16:00:00,281.49957,0.38,125.0,96680.0,3.8928041,2.7729473
2021-03-03 17:00:00,283.43735,0.4,154.0,96600.0,4.1338177,2.6914234
2021-03-03 18:00:00,284.89612,0.44,179.0,96540.0,4.348358,3.2782784
2021-03-03 19:00:00,285.98376,0.48,171.0,96480.0,4.812889,3.7455769
2021-03-03 20:00:00,286.71478,0.48,130.0,96420.0,5.0285997,3.5410748
2021-03-03 21:00:00,286.1599,0.45,57.0,96370.0,5.424406,2.3142214
2021-03-03 22:00:00,284.29498,0.4,-15.0,96380.0,4.9599466,1.9445181
2021-03-03 23:00:00,281.13403,0.17,-30.0,96390.0,2.1174297,2.2626572
2021-03-04 00:00:00,278.57855,0.16,-28.0,96410.0,-0.07172871,2.9739294
2021-03-04 01:00:00,277.81708,0.17,-31.0,96420.0,-0.09204483,3.1551895
2021-03-04 02:00:00,278.81647,0.16,-15.0,96390.0,-0.13863754,2.635273
2021-03-04 03:00:00,277.55737,0.04,-3.0,96500.0,1.3302374,0.20906162
2021-03-04 04:00:00,278.71045,0.05,-4.0,96550.0,0.535285,-1.5413942
2021-03-04 05:00:00,276.294,0.03,-2.0,96540.0,0.9300089,-0.24910069
2021-03-04 06:00:00,275.46896,0.03,-3.0,96540.0,0.96374226,0.80607605
2021-03-04 07:00:00,276.53888,0.03,-1.0,96580.0,1.0506887,0.00104332
2021-03-04 08:00:00,276.76294,0.1,-3.0,96600.0,1.524065,0.19471455
2021-03-04 09:00:00,274.49948,0.07,-6.0,96620.0,2.0308294,0.037020683
2021-03-04 10:00:00,273.47934,0.12,-13.0,96660.0,2.3681812,-0.09164238
2021-03-04 11:00:00,273.0457,0.13,-16.0,96690.0,2.4466448,-0.08838177
2021-03-04 12:00:00,273.10095,0.15,-17.0,96740.0,2.5741816,0.026379585
2021-03-04 13:00:00,274.54236,0.22,-2.0,96800.0,2.9541216,-0.7090769
2021-03-04 14:00:00,275.45367,0.31,18.0,96820.0,3.5212212,-2.017188
2021-03-04 15:00:00,275.75696,0.41,48.0,96830.0,4.629328,-2.6471767
2021-03-04 16:00:00,277.2557,0.45,110.0,96840.0,5.4348917,-2.0823975
2021-03-04 17:00:00,277.16522,0.45,121.0,96830.0,5.425619,-1.8882132
2021-03-04 18:00:00,277.14508,0.47,132.0,96830.0,5.6329374,-2.074212
2021-03-04 19:00:00,277.09973,0.44,126.0,96810.0,5.3428125,-1.770566
2021-03-04 20:00:00,274.373,0.45,20.0,96870.0,5.596265,-1.8058891
2021-03-04 21:00:00,273.434,0.4,15.0,96920.0,4.984186,-1.9070425
2021-03-04 22:00:00,272.47388,0.38,3.0,97020.0,4.6898584,-1.9572229
2021-03-04 23:00:00,271.92496,0.37,19.0,97100.0,4.5094986,-1.8557005
2021-03-05 00:00:00,271.75763,0.42,52.0,97140.0,4.574835,-2.9533634
2021-03-05 01:00:00,271.56836,0.42,62.0,97200.0,4.760702,-2.7764626
2021-03-05 02:00:00,271.4876,0.41,67.0,97200.0,4.5334415,-2.859459
2021-03-05 03:00:00,270.91907,0.43,65.0,97200.0,4.900223,-2.6776352
2021-03-05 04:00:00,270.1263,0.4,58.0,97220.0,4.445919,-2.7149353
2021-03-05 05:00:00,267.69873,0.34,-18.0,97250.0,4.4582644,-1.2014942
2021-03-05 06:00:00,267.1514,0.26,-17.0,97260.0,3.7228565,0.1865139
2021-03-05 07:00:00,266.78204,0.29,-1.0,97280.0,3.834446,-0.94882965
2021-03-05 08:00:00,266.61597,0.25,10.0,97250.0,3.1749744,-0.8854847
2021-03-05 09:00:00,265.72882,0.2,-10.0,97240.0,2.7811127,-0.56993294
2021-03-05 10:00:00,264.91693,0.16,-10.0,97280.0,2.5130005,0.075050354
2021-03-05 11:00:00,264.39053,0.12,-7.0,97310.0,2.033702,0.16412735
2021-03-05 12:00:00,264.15903,0.11,-7.0,97340.0,0.7434654,1.8103218
2021-03-05 13:00:00,266.65063,0.18,22.0,97370.0,1.9162092,0.97047806
2021-03-05 14:00:00,269.07843,0.32,71.0,97360.0,4.0699177,0.15018082
2021-03-05 15:00:00,270.5832,0.33,91.0,97320.0,4.086828,-0.22500229
