Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
56.0,2021-01-03 08:00:00,275.93744,0.16,5.0,98220.0,-0.35468102,-1.8431101
57.0,2021-01-03 09:00:00,275.77252,0.2,6.0,98210.0,-0.39132404,-2.3251514
58.0,2021-01-03 10:00:00,275.6651,0.24,8.0,98110.0,-2.5801687,-1.2348394
59.0,2021-01-03 11:00:00,275.2053,0.03,-1.0,98070.0,-0.72140884,-0.5532932
60.0,2021-01-03 12:00:00,275.54352,0.08,-1.0,98030.0,1.0018568,-0.7151375
61.0,2021-01-03 13:00:00,275.70383,0.06,0.0,98020.0,-0.60749245,-0.7259903
62.0,2021-01-03 14:00:00,276.29227,0.08,4.0,98030.0,0.33960438,-0.81765366
63.0,2021-01-03 15:00:00,276.30194,0.01,0.0,98030.0,0.06857395,-0.44937897
64.0,2021-01-03 16:00:00,276.85242,0.1,8.0,98100.0,1.0040255,0.4247589
65.0,2021-01-03 17:00:00,276.26538,0.19,-1.0,98050.0,2.3232994,0.4414215
66.0,2021-01-03 18:00:00,277.01166,0.26,0.0,98040.0,3.0867558,0.768116
67.0,2021-01-03 19:00:00,277.61908,0.32,6.0,98090.0,3.6274786,0.8953018
68.0,2021-01-03 20:00:00,277.4147,0.2,-2.0,98200.0,2.440218,0.033186913
69.0,2021-01-03 21:00:00,277.28906,0.07,-3.0,98180.0,1.6931009,-0.0013494492
70.0,2021-01-03 22:00:00,277.1756,0.07,-3.0,98240.0,1.562953,0.1433878
71.0,2021-01-03 23:00:00,277.0441,0.09,-4.0,98270.0,1.3747072,0.27021885
72.0,2021-01-04 00:00:00,272.1236,0.05,-6.0,98340.0,1.3371181,0.798399
73.0,2021-01-04 01:00:00,274.07068,0.02,-1.0,98390.0,0.49245262,0.6933861
74.0,2021-01-04 02:00:00,273.9822,0.04,-3.0,98410.0,1.0676308,0.909111
75.0,2021-01-04 03:00:00,275.2237,0.05,-3.0,98410.0,1.3768597,0.26613426
76.0,2021-01-04 04:00:00,276.07385,0.16,0.0,98410.0,1.4381971,1.2838993
77.0,2021-01-04 05:00:00,276.12537,0.15,-2.0,98420.0,1.1576624,1.397377
78.0,2021-01-04 06:00:00,275.46368,0.02,0.0,98380.0,0.19186878,0.5897026
79.0,2021-01-04 07:00:00,275.8238,0.01,0.0,98390.0,0.2570629,-0.049926758
80.0,2021-01-04 08:00:00,275.81866,0.09,3.0,98440.0,0.93850327,-0.03147316
81.0,2021-01-04 09:00:00,275.55243,0.05,1.0,98450.0,0.4914379,0.19631195
82.0,2021-01-04 10:00:00,275.3283,0.1,2.0,98490.0,1.1520786,0.2855816
83.0,2021-01-04 11:00:00,274.98508,0.09,2.0,98530.0,0.94605255,-0.25292206
84.0,2021-01-04 12:00:00,274.758,0.01,0.0,98570.0,0.07822418,0.13064766
85.0,2021-01-04 13:00:00,274.89545,0.01,0.0,98600.0,0.2173729,-0.18029213
86.0,2021-01-04 14:00:00,275.50708,0.07,11.0,98620.0,0.5732403,0.30955124
87.0,2021-01-04 15:00:00,276.68304,0.11,42.0,98630.0,0.8442478,0.4119568
88.0,2021-01-04 16:00:00,276.32947,0.05,21.0,98560.0,0.152874,0.36553192
89.0,2021-01-04 17:00:00,276.6266,0.06,20.0,98490.0,0.07215881,0.447464
90.0,2021-01-04 18:00:00,276.27197,0.07,11.0,98390.0,0.60237885,-0.14396286
91.0,2021-01-04 19:00:00,276.03027,0.1,4.0,98340.0,0.59568596,0.87249374
92.0,2021-01-04 20:00:00,276.27188,0.11,14.0,98330.0,0.703722,0.8181324
93.0,2021-01-04 21:00:00,275.58374,0.13,4.0,98380.0,0.669775,1.3237667
94.0,2021-01-04 22:00:00,274.6053,0.01,0.0,98390.0,-0.29639244,0.2638073
95.0,2021-01-04 23:00:00,274.67252,0.02,0.0,98360.0,0.49858475,0.33058357
96.0,2021-01-05 00:00:00,272.12445,0.01,0.0,98350.0,-0.05142975,0.21999359
97.0,2021-01-05 01:00:00,273.2898,0.01,0.0,98350.0,0.069532394,0.11026192
98.0,2021-01-05 02:00:00,273.69083,0.01,0.0,98330.0,0.27842903,0.06954956
99.0,2021-01-05 03:00:00,272.9257,0.04,-2.0,98280.0,-1.203783,-0.015808105
100.0,2021-01-05 04:00:00,273.0194,0.02,-1.0,98200.0,-0.73303413,-0.1313057
101.0,2021-01-05 05:00:00,272.88095,0.02,-1.0,98150.0,-0.36338997,0.56746674
102.0,2021-01-05 06:00:00,272.93158,0.02,-1.0,98120.0,0.23605728,0.695034
103.0,2021-01-05 07:00:00,273.2583,0.03,-1.0,98140.0,0.7546902,-0.37439156
104.0,2021-01-05 08:00:00,273.95343,0.07,-1.0,98150.0,0.8175869,-0.70469475
105.0,2021-01-05 09:00:00,273.88837,0.03,0.0,98120.0,0.4755745,0.19105911
106.0,2021-01-05 10:00:00,273.81375,0.02,0.0,98130.0,0.3502922,-0.3651886
107.0,2021-01-05 11:00:00,273.68713,0.01,0.0,98140.0,-0.1933527,0.3329296
108.0,2021-01-05 12:00:00,273.71497,0.01,0.0,98190.0,0.29799747,0.3593197
109.0,2021-01-05 13:00:00,273.7027,0.02,0.0,98220.0,0.47447872,0.44573975
110.0,2021-01-05 14:00:00,274.27426,0.1,9.0,98280.0,0.8921757,-0.36515427
111.0,2021-01-05 15:00:00,274.70374,0.15,26.0,98280.0,1.4801188,-0.08088112
112.0,2021-01-05 16:00:00,276.16003,0.14,44.0,98260.0,1.0814886,-0.7248688
113.0,2021-01-05 17:00:00,276.26514,0.1,18.0,98220.0,0.93592834,0.005174637
114.0,2021-01-05 18:00:00,276.18347,0.15,17.0,98190.0,1.6155148,-0.13006973
115.0,2021-01-05 19:00:00,275.63654,0.22,12.0,98220.0,2.4610043,-0.7352562
116.0,2021-01-05 20:00:00,274.8432,0.16,-7.0,98290.0,1.9954815,-0.7270336
117.0,2021-01-05 21:00:00,274.9208,0.02,-1.0,98370.0,0.79192924,-0.24777031
118.0,2021-01-05 22:00:00,274.83075,0.06,-2.0,98460.0,1.4206686,-0.110118866
119.0,2021-01-05 23:00:00,274.19244,0.03,-1.0,98490.0,0.9842167,-0.15592957
120.0,2021-01-06 00:00:00,274.32263,0.09,-4.0,98570.0,1.3408813,-0.4683323
121.0,2021-01-06 01:00:00,274.45605,0.04,-1.0,98610.0,0.93070793,-0.15979767
122.0,2021-01-06 02:00:00,274.31903,0.09,-2.0,98680.0,0.921237,-0.8619232
123.0,2021-01-06 03:00:00,274.24057,0.08,0.0,98700.0,0.821537,-0.4388752
124.0,2021-01-06 04:00:00,274.25946,0.14,-2.0,98740.0,1.465272,-1.0283203
125.0,2021-01-06 05:00:00,274.1989,0.15,-4.0,98780.0,1.676816,-1.0655441
126.0,2021-01-06 06:00:00,274.22778,0.12,-2.0,98840.0,1.2569532,-0.78347206
127.0,2021-01-06 07:00:00,274.0016,0.13,1.0,98830.0,1.3883696,-0.6315403
128.0,2021-01-06 08:00:00,273.99533,0.09,1.0,98880.0,0.9041567,-0.5427494
129.0,2021-01-06 09:00:00,273.91742,0.14,1.0,98910.0,1.5984163,-0.2517662
130.0,2021-01-06 10:00:00,274.0204,0.12,-2.0,98940.0,1.1347504,-1.1423359
131.0,2021-01-06 11:00:00,273.99042,0.08,-1.0,98979.41,0.861557,-0.69496155
132.0,2021-01-06 12:00:00,274.0496,0.11,0.0,99050.0,1.1437578,-0.596117
133.0,2021-01-06 13:00:00,273.49115,0.09,-3.0,99120.0,1.1875067,-0.5820923
134.0,2021-01-06 14:00:00,274.2493,0.19,7.0,99210.0,1.7446489,-1.2751999
135.0,2021-01-06 15:00:00,275.17773,0.22,23.0,99240.0,1.8562822,-1.5988884
