time,t,fricv,shtfl,sp,u10,v10
2021-04-17 19:00:00,284.4212341308594,0.277999997138977,40.0,98820.0,3.2402477264404297,-1.414306640625
2021-04-17 20:00:00,284.4103088378906,0.2300000041723251,23.0,98800.0,2.5227842330932617,-1.4593467712402344
2021-04-17 21:00:00,285.3756408691406,0.2599999904632568,57.0,98840.0,2.4706735610961914,-1.9863452911376955
2021-04-17 22:00:00,284.1534118652344,0.2899999916553497,14.0,98830.0,2.841118812561035,-2.557310104370117
2021-04-17 23:00:00,282.2465515136719,0.2399999946355819,-28.0,98860.0,3.1585893630981445,-1.8260831832885744
2021-04-18 00:00:00,280.5793762207031,0.1599999964237213,-19.0,98920.0,2.4982175827026367,-1.0693836212158203
2021-04-18 01:00:00,279.4636535644531,0.0599999986588954,-6.0,98950.0,1.9679374694824217,-0.3246059417724609
2021-04-18 02:00:00,279.1715087890625,0.0900000035762786,-11.0,98970.0,2.3182106018066406,0.0488796234130859
2021-04-18 03:00:00,279.3515014648437,0.1400000005960464,-20.0,98970.0,2.557701110839844,-0.5493555068969727
2021-04-18 04:00:00,278.85028076171875,0.1400000005960464,-22.0,98990.0,2.3542518615722656,-1.3235931396484375
2021-04-18 05:00:00,278.53253173828125,0.0700000002980232,-7.0,98950.0,1.9436149597167969,-0.7879428863525391
2021-04-18 06:00:00,278.6578369140625,0.1599999964237213,-26.0,98930.0,2.788053512573242,-0.8628015518188477
2021-04-18 07:00:00,278.7449645996094,0.1500000059604644,-24.0,98910.0,2.6179637908935547,-1.1674261093139648
2021-04-18 08:00:00,278.5801696777344,0.1500000059604644,-21.0,98960.0,2.7333335876464844,-0.2253694534301757
2021-04-18 09:00:00,278.2872009277344,0.1500000059604644,-24.0,98940.0,2.7992477416992188,-0.1564102172851562
2021-04-18 10:00:00,277.9107971191406,0.0799999982118606,-9.0,98950.0,2.197286605834961,-0.4473934173583984
2021-04-18 11:00:00,278.5194702148437,0.1299999952316284,-13.0,99020.0,2.435333251953125,-0.1376733779907226
2021-04-18 12:00:00,281.9046630859375,0.2000000029802322,18.0,99070.0,2.446249961853028,-0.3795490264892578
2021-04-18 13:00:00,284.62506103515625,0.2800000011920929,62.0,99060.0,3.362443923950196,-1.0406408309936523
2021-04-18 14:00:00,287.9091186523437,0.2899999916553497,121.0,99050.0,3.14278507232666,-1.308816909790039
2021-04-18 15:00:00,289.4818115234375,0.3199999928474426,151.0,99010.0,3.669145584106445,-1.0010766983032229
2021-04-18 16:00:00,291.68914794921875,0.3199999928474426,196.0,98970.0,3.717942237854004,-0.903411865234375
2021-04-18 17:00:00,291.3515930175781,0.3300000131130218,160.0,98940.0,3.5131845474243164,-1.6777229309082031
2021-04-18 18:00:00,291.3825988769531,0.3400000035762787,148.0,98900.0,3.880094528198242,-1.3306045532226562
2021-04-18 19:00:00,292.5011901855469,0.3300000131130218,180.0,98900.0,3.830356597900391,-0.8524045944213867
2021-04-18 20:00:00,289.6421813964844,0.209999993443489,68.0,98900.0,2.438305854797364,0.2467517852783203
2021-04-18 21:00:00,290.7182922363281,0.2599999904632568,89.0,98870.0,2.9664382934570312,0.8081789016723633
