time,t,fricv,shtfl,sp,u10,v10
2020-11-04 00:00:00,275.542,0.02,-1.0,100920.0,0.093117714,-0.60552216
2020-11-04 01:00:00,274.97723,0.03,0.0,101010.0,0.34015083,-0.9119215
2020-11-04 02:00:00,274.399,0.02,-1.0,101130.0,0.62796783,-0.38207436
2020-11-04 03:00:00,273.88495,0.03,-2.0,101210.0,1.1543283,-0.44142914
2020-11-04 04:00:00,273.3186,0.03,-2.0,101240.0,1.0794935,0.23297405
2020-11-04 05:00:00,273.133,0.03,-2.0,101300.0,1.0761757,0.24036503
2020-11-04 06:00:00,274.66394,0.11,-3.0,101370.0,-0.6913929,1.402441
2020-11-04 07:00:00,273.99664,0.08,-3.0,101420.0,-0.61555386,1.4877968
2020-11-04 08:00:00,273.02203,0.05,-3.0,101450.0,-0.53203106,1.5738926
2020-11-04 09:00:00,272.6372,0.05,-3.0,101510.0,-0.3998518,1.7292824
2020-11-04 10:00:00,272.4025,0.09,-7.0,101550.0,-0.69358826,1.9214153
2020-11-04 11:00:00,272.44147,0.07,-5.0,101560.0,-1.0199566,1.5438871
2020-11-04 12:00:00,272.43036,0.09,-5.0,101590.0,-1.5836821,0.8922138
2020-11-04 13:00:00,275.17844,0.2,20.0,101680.0,-2.015376,0.5352564
2020-11-04 14:00:00,278.86908,0.26,62.0,101720.0,-2.3784733,0.8785982
2020-11-04 15:00:00,282.7495,0.32,94.0,101690.0,-3.022602,1.0762434
2020-11-04 16:00:00,286.2633,0.3,110.0,101660.0,-2.6810074,1.2554646
2020-11-04 17:00:00,288.75107,0.34,110.0,101580.0,-2.1592445,2.6838865
2020-11-04 18:00:00,289.9147,0.33,76.0,101510.0,-1.0967884,3.207533
2020-11-04 19:00:00,289.57703,0.32,40.0,101500.0,-0.8407078,3.3622742
2020-11-04 20:00:00,288.49033,0.3,0.0,101470.0,-1.4091873,3.1943893
2020-11-04 21:00:00,286.57394,0.11,-10.0,101470.0,-1.5383682,1.9184494
2020-11-04 22:00:00,283.7381,0.06,-8.0,101480.0,-2.286004,0.32293797
2020-11-04 23:00:00,282.53522,0.08,-13.0,101520.0,-2.632965,-0.194623
2020-11-05 00:00:00,282.1549,0.14,-26.0,101540.0,-3.0832634,0.21802902
2020-11-05 01:00:00,281.94464,0.13,-22.0,101560.0,-2.8309612,-0.32331753
2020-11-05 02:00:00,281.8031,0.17,-28.0,101600.0,-3.017642,-0.75645256
2020-11-05 03:00:00,281.50732,0.22,-40.0,101610.0,-3.1871367,-1.328661
2020-11-05 04:00:00,280.99802,0.19,-30.0,101610.0,-3.0595083,-0.84259224
2020-11-05 05:00:00,280.39575,0.13,-19.0,101590.0,-2.760069,-0.24694157
2020-11-05 06:00:00,280.10095,0.13,-22.0,101570.0,-2.920494,-0.5021715
2020-11-05 07:00:00,280.08167,0.17,-29.0,101580.0,-3.0594177,-0.9127264
2020-11-05 08:00:00,279.66287,0.15,-20.0,101540.0,-2.9350538,-0.6170349
2020-11-05 09:00:00,279.3274,0.13,-20.0,101540.0,-2.8008366,-0.5914602
2020-11-05 10:00:00,278.96808,0.14,-20.0,101550.0,-2.9006329,-0.5576153
2020-11-05 11:00:00,278.97595,0.24,-40.0,101530.0,-3.4669857,-1.008585
2020-11-05 12:00:00,279.1897,0.24,-30.0,101540.0,-3.2652493,-0.7130451
2020-11-05 13:00:00,282.2122,0.25,14.0,101570.0,-2.7124138,-0.30298996
2020-11-05 14:00:00,286.5438,0.15,10.0,101550.0,-1.233387,0.8625984
2020-11-05 15:00:00,290.17084,0.23,60.0,101500.0,-0.41086197,2.0662422
2020-11-05 16:00:00,292.5261,0.3,68.0,101440.0,-0.15357399,3.0284653
2020-11-05 17:00:00,294.03445,0.33,73.0,101340.0,0.41964912,3.3082657
2020-11-05 18:00:00,294.65527,0.35,70.0,101260.0,0.37242126,3.5703812
2020-11-05 19:00:00,293.99463,0.34,30.0,101210.0,-0.20550537,3.6237545
