time,t,fricv,shtfl,sp,u10,v10
10/4/2020 1:00,281.65216,0.031,-2,98520,-1.1831522,0.098249435
10/4/2020 2:00,280.8719,0.02,-2,98540,-0.77246475,-0.13116837
10/4/2020 3:00,280.1335,0.03,-2,98530,-1.0134096,-0.09749794
10/4/2020 4:00,279.91614,0.03,-2,98500,-0.9995289,0.5491638
10/4/2020 5:00,279.8941,0.02,-1,98470,-0.90265083,0.023794174
10/4/2020 6:00,280.40652,0.01,-1,98450,-0.44106293,0.088373184
10/4/2020 7:00,280.22638,0.02,-1,98420,-0.8565531,0.39035797
10/4/2020 8:00,280.09134,0.01,-1,98390,-0.49763203,0.09475136
10/4/2020 9:00,280.2561,0.03,-2,98360,-0.9969597,-0.4162407
10/4/2020 10:00,280.33905,0.03,-2,98340,-1.1541052,0.48845863
10/4/2020 11:00,280.87036,0.02,-1,98340,-0.70959854,0.48025322
10/4/2020 12:00,281.46997,0.01,0,98350,-0.5692272,0.11392975
10/4/2020 13:00,283.64624,0.12,30,98340,-0.6276283,0.64169407
10/4/2020 14:00,287.90552,0.2,150,98320,-0.99103737,1.1916256
10/4/2020 15:00,290.85693,0.3,210,98280,-0.57668304,2.591589
10/4/2020 16:00,293.29376,0.32,280,98230,-0.7821541,2.594841
10/4/2020 17:00,295.28802,0.31,300,98160,-0.26874065,2.4979324
10/4/2020 18:00,296.19684,0.3,280,98060,0.33421707,2.3733978
10/4/2020 19:00,295.34204,0.34,190,97960,0.3558178,3.1179638
10/4/2020 20:00,293.39612,0.25,80,97910,0.36942482,2.2495213
10/4/2020 21:00,292.31104,0.13,40,97860,0.35311317,0.7674217
10/4/2020 22:00,290.1487,0.05,-2,97840,0.48989487,0.51003647
10/4/2020 23:00,288.57114,0.01,-1,97870,-0.17402077,0.35933876
10/5/2020 0:00,287.14578,0.11,-6,97910,2.1127396,-0.3818779
10/5/2020 1:00,285.91992,0.59,20,98010,4.705654,-4.852247
10/5/2020 2:00,284.65173,0.27,15,98180,2.083786,-2.0089817
10/5/2020 3:00,284.06705,0.19,3,98200,1.1929455,-1.8527927
10/5/2020 4:00,283.8964,0.1,2,98190,0.85173607,-0.7105541
10/5/2020 5:00,283.51764,0.12,2,98180,1.1710167,-0.56955147
10/5/2020 6:00,283.11963,0.19,1,98240,2.0963364,-0.007152557
10/5/2020 7:00,282.98135,0.15,-3,98270,1.7407341,0.4032669
10/5/2020 8:00,283.05078,0.19,1,98270,1.8804092,1.0865707
10/5/2020 9:00,282.7349,0.19,-6,98340,2.2604256,0.68032646
10/5/2020 10:00,282.73605,0.13,-2,98410,1.6796036,-0.50097084
10/5/2020 11:00,282.8323,0.13,-2,98480,1.7114544,-0.30124283
10/5/2020 12:00,282.80975,0.13,8,98530,1.2778597,-0.28195
10/5/2020 13:00,284.4971,0.25,50,98590,1.4828663,-1.9150314
10/5/2020 14:00,286.17245,0.27,98,98660,1.9974804,-1.4063015
10/5/2020 15:00,286.84555,0.27,92,98690,2.3978806,-0.72250366
10/5/2020 16:00,288.35037,0.23,150,98690,1.8304596,-0.18917656
10/5/2020 17:00,290.56064,0.25,253,98660,1.7759924,0.7394676
10/5/2020 18:00,292.34012,0.28,310,98590,2.2457,-0.00230217
10/5/2020 19:00,292.44333,0.25,270,98520,1.8366699,0.50106907
10/5/2020 20:00,291.75128,0.2,224.95532,98480,1.2710686,0.46565914
10/5/2020 21:00,290.50687,0.2,120,98440,1.1538639,1.0257387
10/5/2020 22:00,287.7976,0.15,10,98400,1.1302147,0.9664135
10/5/2020 23:00,285.39243,0.03,-1,98370,0.075149536,1.1097183
10/6/2020 0:00,284.26804,0.02,0,98400,-0.37573624,0.4874258
10/6/2020 1:00,282.17926,0.02,-1,98400,-0.37565994,0.7749653
10/6/2020 2:00,281.16608,0.03,-1,98410,0.14430428,1.0603905
10/6/2020 3:00,279.79102,0.02,-1,98410,-0.24001312,0.78199863
10/6/2020 4:00,278.6576,0.02,-1,98380,-0.2477684,0.6022024
10/6/2020 5:00,277.7176,0.03,-1,98330,-0.12695885,0.9464922
10/6/2020 6:00,276.9654,0.02,-1,98290,-0.087343216,0.90146065
10/6/2020 7:00,276.16202,0.02,-1,98270,-0.23203373,0.72761726
10/6/2020 8:00,275.55807,0.02,-1,98240,-0.15234566,0.8284626
10/6/2020 9:00,275.32724,0.02,-1,98220,-0.43219662,0.5923996
10/6/2020 10:00,274.72937,0.03,-2,98210,-0.3108921,0.9142904
10/6/2020 11:00,273.93042,0.02,-1,98220,-0.2156601,0.6538925
10/6/2020 12:00,274.0792,0.03,-1,98230,-0.8178282,0.53265667
10/6/2020 13:00,279.69583,0.12,15,98230,-0.56522846,0.9927349
10/6/2020 14:00,285.21124,0.24,114,98220,0.13460732,2.0298338
10/6/2020 15:00,289.88333,0.36,179,98160,1.2536402,3.1858873
10/6/2020 16:00,292.7744,0.43,236,98090,1.5563097,3.9532318
10/6/2020 17:00,294.7298,0.44,259,98000,0.9529877,4.143053
10/6/2020 18:00,295.91028,0.45,250,97910,1.4766903,4.219841
10/6/2020 19:00,296.3046,0.49,210,97790,1.182518,4.829706
10/6/2020 20:00,295.71533,0.43,140,97720,1.006257,4.2881517
10/6/2020 21:00,294.18954,0.39,60,97680,1.2285032,3.975027
10/6/2020 22:00,291.6501,0.31,-20,97660,1.3236876,3.420414
10/6/2020 23:00,288.8679,0.08,-9,97640,-0.06410885,2.4211178
10/7/2020 0:00,287.5065,0.06,-5,97640,-0.38485718,2.0634766
10/7/2020 1:00,286.8516,0.073,-8,97640,0.35577774,2.2553482
10/7/2020 2:00,286.19888,0.08,-9,97610,0.64375496,2.2834244
10/7/2020 3:00,285.78687,0.05,-4,97610,-0.17712116,1.9207954
10/7/2020 4:00,285.46167,0.14,-20,97600,0.86503696,2.7413998
10/7/2020 5:00,285.21793,0.15,-23,97590,0.65083027,2.7771082
10/7/2020 6:00,284.86502,0.08,-9,97530,-0.16504669,2.2221212
10/7/2020 7:00,284.47586,0.09,-12,97510,0.39408493,2.4065266
10/7/2020 8:00,284.21472,0.11,-15,97430,-0.3621397,2.4801693
10/7/2020 9:00,283.78525,0.14,-21,97390,-0.15584946,2.7803288
10/7/2020 10:00,283.4536,0.08,-9,97380,0.2998314,2.2327871
10/7/2020 11:00,283.08105,0.09,-11,97360,0.11480713,2.3244963
10/7/2020 12:00,283.62756,0.19,-26,97340,0.45410442,2.9458542
10/7/2020 13:00,287.2573,0.45,11,97330,2.4590092,4.4315357
10/7/2020 14:00,291.08774,0.43,86,97310,2.7053118,3.6840267
10/7/2020 15:00,294.25674,0.53,164,97240,3.9256048,3.8960094
10/7/2020 16:00,297.29767,0.55,217,97170,4.4185534,3.6817799
10/7/2020 17:00,299.65857,0.6,268,97160,5.471964,2.9818544
10/7/2020 18:00,300.56992,0.64,297,97150,6.4683056,1.9816666
10/7/2020 19:00,300.57043,0.64,250,97120,6.5854597,1.7150946
10/7/2020 20:00,299.1375,0.57,140,97130,6.0876865,0.81146336
10/7/2020 21:00,297.3056,0.56,40,97160,6.1243353,0.92234516
10/7/2020 22:00,295.2179,0.43,-30,97210,4.9549103,0.2729702
10/7/2020 23:00,292.70123,0.09,-8,97300,2.086382,-0.71765995
10/8/2020 0:00,292.4992,0.17,-15,97420,1.3086891,-2.241768
