time,t,fricv,shtfl,sp,u10,v10
2020-10-01 00:00:00,286.7087,0.07,-6.0,97050.0,-0.1974287,2.07724
2020-10-01 01:00:00,285.93906,0.05,-3.0,97040.0,1.7583513,0.36072922
2020-10-01 02:00:00,286.64465,0.21,-21.0,97100.0,-0.39478207,2.7618637
2020-10-01 03:00:00,287.19916,0.02,0.0,97140.0,0.66064644,-0.10564709
2020-10-01 04:00:00,287.0767,0.097,-5.0,97240.0,1.2531595,0.9978161
2020-10-01 05:00:00,286.4714,0.17,-14.0,97340.0,2.3931122,0.97583103
2020-10-01 06:00:00,284.1622,0.1,-9.0,97410.0,0.73055744,1.9695206
2020-10-01 07:00:00,282.91794,0.09,-5.0,97480.0,1.4819088,1.0792732
2020-10-01 08:00:00,281.9434,0.1,-6.0,97510.0,1.4236927,1.2881622
2020-10-01 09:00:00,280.9728,0.11,-8.0,97540.0,0.9876003,1.8647995
2020-10-01 10:00:00,280.30206,0.04,-2.0,97570.0,0.09625816,1.5365772
2020-10-01 11:00:00,279.76105,0.05,-3.0,97630.0,0.37655067,1.7316351
2020-10-01 12:00:00,280.2774,0.03,-1.0,97670.0,-0.23604298,0.99112797
2020-10-01 13:00:00,284.55035,0.22,28.0,97690.0,1.3309135,1.6334381
2020-10-01 14:00:00,289.12488,0.32,126.0,97710.0,2.2660227,2.1520357
2020-10-01 15:00:00,292.0769,0.422,206.0,97710.0,2.6642275,3.2304134
2020-10-01 16:00:00,294.13412,0.427,250.0,97680.0,2.4104586,3.3240938
2020-10-01 17:00:00,294.51147,0.488,250.0,97690.0,3.6400166,3.269412
2020-10-01 18:00:00,293.9975,0.472,210.0,97640.0,4.124626,2.3639727
2020-10-01 19:00:00,293.93536,0.486,190.0,97620.0,4.4222174,2.3143663
2020-10-01 20:00:00,293.02945,0.438,130.0,97600.0,3.687395,2.5211802
2020-10-01 21:00:00,291.42572,0.317,60.0,97600.0,2.7623444,1.64186
2020-10-01 22:00:00,289.1599,0.207,-1.0,97610.0,1.9776077,1.1653662
2020-10-01 23:00:00,286.29193,0.045,-3.0,97660.0,1.6175432,0.44586468
2020-10-02 00:00:00,284.7361,0.134,-9.0,97780.0,1.8117304,-0.9416561
2020-10-02 01:00:00,283.35974,0.166,-17.0,97810.0,-0.17619705,2.5831385
2020-10-02 02:00:00,283.05594,0.1,-6.0,97830.0,-0.17191887,1.5099573
2020-10-02 03:00:00,281.15262,0.05,-2.0,97840.0,0.5177555,1.4942579
2020-10-02 04:00:00,280.35413,0.05,-2.0,97850.0,0.32735825,1.4425421
2020-10-02 05:00:00,279.46823,0.03,-1.0,97820.0,0.25152397,1.0098019
2020-10-02 06:00:00,278.9094,0.04,-2.0,97820.0,0.47319221,1.2936726
2020-10-02 07:00:00,278.3942,0.09,-8.0,97800.0,1.3394604,1.6086111
2020-10-02 08:00:00,277.88992,0.05,-3.0,97780.0,0.7826271,1.5688477
2020-10-02 09:00:00,278.05786,0.04,-2.0,97790.0,0.598403,1.3876934
2020-10-02 10:00:00,277.919,0.04,-2.0,97830.0,0.36006165,1.4385166
2020-10-02 11:00:00,279.48685,0.15,2.0,97880.0,0.6746845,1.4157629
2020-10-02 12:00:00,280.58563,0.23,8.0,97960.0,2.0261612,1.5702763
2020-10-02 13:00:00,282.742,0.28,60.0,97990.0,2.3503609,1.3843641
2020-10-02 14:00:00,285.5351,0.36,133.0,98070.0,3.18427,1.4637947
2020-10-02 15:00:00,287.4619,0.36,164.0,98080.0,3.3108797,0.9331856
2020-10-02 16:00:00,285.42755,0.338,49.0,98120.0,3.2660656,1.4171085
2020-10-02 17:00:00,287.03882,0.381,50.0,98120.0,3.2276306,2.5888681
2020-10-02 18:00:00,286.86246,0.356,40.0,98120.0,3.5736046,1.8471909
2020-10-02 19:00:00,292.1129,0.385,240.0,98060.0,3.2403812,1.6540947
2020-10-02 20:00:00,290.99103,0.311,140.0,98050.0,2.6832829,1.0554371
2020-10-02 21:00:00,290.08105,0.272,90.0,98080.0,2.5379972,0.28578186
2020-10-02 22:00:00,287.31656,0.204,2.0,98120.0,2.1665401,-0.57572556
2020-10-02 23:00:00,284.138,0.06,-5.0,98180.0,1.6730728,-0.9864664
2020-10-03 00:00:00,282.4661,0.039,-3.0,98230.0,0.53746796,-1.3429222
